Data Ref,Data Label,Status,,Period,Period Err,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Err,Abs Phase To Zero,Abs Phase To Window,Abs Phase Err,,Amplitude,Amplitude Err,,GOF,ERR
1. [B],WT:CCA1,,,23.2,0.83,,7.59,4.28,5.17,7.34,4.14,4.99,,51469,12822,,0.41,0.26
2. [C],WT:CCA1,,,24.18,1.16,,3.62,4.34,6.33,3.65,4.37,6.37,,51215,12540,,0.47,0.24
3. [D],WT:CCA1,,,24,0.87,,3.99,3.99,5.17,3.99,3.99,5.17,,81206,17800,,0.34,0.22
4. [E],WT:CCA1,,,23.69,1.19,,6.65,5.39,5.72,6.56,5.32,5.65,,19792,5969,,0.43,0.3
5. [F],WT:CCA1,,,23.32,0.79,,8.62,5.83,4.75,8.38,5.66,4.61,,52117,13753,,0.31,0.25
6. [G],WT:CCA1,,,23.96,1.03,,4.89,4.73,5.63,4.88,4.72,5.62,,60453,15892,,0.39,0.26
7. [H],WT:CCA1,,,23.88,0.57,,3.69,3.21,3.16,3.67,3.19,3.14,,146804,21837,,0.24,0.15
8. [I],WT:CCA1,,,23.8,1,,5.75,4.94,4.54,5.7,4.9,4.5,,125499,33283,,0.39,0.26
9. [J],WT:CCA1,,,23.35,0.84,,8.45,5.78,4.87,8.22,5.62,4.74,,66112,16503,,0.33,0.25
10. [K],WT:CCA1,,,23.55,1.04,,7.75,5.91,7.37,7.6,5.8,7.23,,147282,37409,,0.37,0.25
11. [L],WT:CCA1,,,23.98,0.96,,4.41,4.33,5.27,4.41,4.33,5.27,,96696,25930,,0.41,0.27
12. [M],WT:CCA1,,,23.69,0.95,,6.27,5.01,5.25,6.19,4.95,5.18,,98189,23379,,0.35,0.24
13. [N],WT:CCA1,,,23.55,0.85,,6.81,4.97,5.1,6.68,4.88,5.01,,75331,19139,,0.39,0.26
14. [O],WT:CCA1,,,23.79,0.89,,5.25,4.4,5.33,5.2,4.36,5.28,,143452,35120,,0.38,0.25
15. [P],WT:CCA1,,,23.41,0.8,,7.32,4.9,4.42,7.14,4.78,4.32,,162509,32552,,0.24,0.2
16. [Q],WT:CCA1,,,23.36,0.78,,7.66,5.03,4.78,7.46,4.9,4.65,,104935,24302,,0.38,0.23
17. [R],WT:CCA1,,,23.68,0.75,,6.03,4.73,4.43,5.95,4.67,4.37,,42257,11545,,0.36,0.27
18. [S],WT:CCA1,,,23.73,1.14,,5.77,4.68,6.8,5.71,4.63,6.72,,33310,10672,,0.49,0.33
19. [T],WT:CCA1,,,23.62,0.89,,6.08,4.53,6.25,5.98,4.46,6.15,,33429,8392,,0.38,0.25
20. [U],WT:CCA1,,,23.04,0.83,,8.01,4.01,5.21,7.69,3.85,5,,109030,25578,,0.39,0.24
21. [V],WT:CCA1,,,23.28,0.91,,7.57,4.6,5.6,7.34,4.46,5.43,,145402,40210,,0.4,0.28
22. [W],WT:CCA1,,,23.7,1.01,,6.24,5.02,5.6,6.16,4.96,5.53,,147050,38648,,0.38,0.26
23. [X],WT:CCA1,,,24.1,0.77,,3.65,4.05,4.51,3.67,4.07,4.53,,28515,7009,,0.32,0.24
24. [Y],WT:CCA1,,,23.45,0.87,,6.98,4.73,5.31,6.82,4.62,5.19,,74489,18798,,0.39,0.25
25. [Z],WT:CCA1,,,23.78,0.47,,5.24,4.35,2.79,5.19,4.31,2.76,,139919,21930,,0.21,0.15
26. [AA],WT:CCA1,,,23.98,0.5,,3.67,3.59,2.8,3.67,3.59,2.8,,125680,22601,,0.24,0.18
27. [AB],WT:CCA1,,,22.88,0.73,,10.25,5.55,4.51,9.77,5.29,4.3,,126662,29750,,0.38,0.24
28. [AC],WT:CCA1,,,23.78,1.27,,5.56,4.67,7.52,5.51,4.63,7.45,,15696,5621,,0.53,0.37
29. [AD],WT:CCA1,,,23.66,1.1,,5.35,3.97,6.7,5.27,3.91,6.61,,41740,10882,,0.51,0.26
30. [AE],WT:CCA1,,,24.26,1.09,,3.35,4.38,5.92,3.39,4.43,5.98,,100138,26379,,0.39,0.27
31. [AF],WT:CCA1,,,24.11,0.85,,3.85,4.29,4.61,3.87,4.31,4.63,,91101,19278,,0.33,0.21
32. [AG],WT:CCA1,,,24.02,1.14,,4.79,4.87,6.23,4.79,4.87,6.23,,52390,13844,,0.39,0.26
33. [AH],WT:CCA1,,,22.91,0.69,,8.68,4.12,4.3,8.29,3.93,4.1,,178467,31918,,0.29,0.18
34. [AI],WT:CCA1,,,24.27,0.49,,3.08,4.14,2.63,3.11,4.19,2.66,,82476,11462,,0.18,0.13
35. [AJ],WT:CCA1,,,23.53,0.94,,5.91,3.99,5.72,5.79,3.91,5.61,,84648,23935,,0.44,0.29
36. [AK],WT:CCA1,,,22.96,0.87,,10.47,6.13,5.34,10.02,5.86,5.11,,50882,13658,,0.31,0.26
37. [AL],WT:CCA1,,,24.66,0.99,,0.51,3.08,5.28,0.52,3.16,5.43,,120000,27853,,0.36,0.23
38. [AM],WT:CCA1,,,24.74,1.16,,1.01,3.88,6.03,1.04,4,6.21,,28628,7530,,0.41,0.27
39. [AN],WT:CCA1,,,24.59,0.87,,0.28,2.59,4.63,0.29,2.65,4.74,,75428,16895,,0.34,0.23
40. [AO],WT:CCA1,,,24.06,1.51,,4.35,4.59,8.21,4.36,4.6,8.23,,48583,16074,,0.46,0.33
41. [AP],WT:CCA1,,,24.44,1.12,,2.94,4.66,5.99,2.99,4.75,6.1,,49196,11859,,0.37,0.24
42. [AQ],WT:CCA1,,,23.61,0.85,,6.04,4.45,5.16,5.94,4.38,5.08,,58208,14230,,0.39,0.25
43. [AR],WT:CCA1,,,26.26,0.97,,18.99,3.25,4.63,20.78,3.56,5.06,,93310,16442,,0.29,0.17
44. [AS],WT:CCA1,,,23.53,0.54,,4.78,2.87,3.1,4.69,2.81,3.04,,294678,41643,,0.22,0.14
45. [AT],WT:CCA1,,,24.19,1.22,,3.61,4.37,5.41,3.64,4.4,5.45,,90887,23874,,0.51,0.26
46. [AU],WT:CCA1,,,23.89,1,,5.08,4.64,5.5,5.06,4.62,5.48,,114307,28915,,0.37,0.25
47. [AV],WT:CCA1,,,24.32,1.04,,3.24,4.5,5.57,3.28,4.56,5.65,,63487,15499,,0.37,0.25
48. [AW],WT:CCA1,,,23.4,1.04,,6.11,3.65,6.43,5.96,3.56,6.27,,237460,60948,,0.52,0.26
49. [AX],WT:CCA1,,,23.95,0.43,,4.87,4.67,2.3,4.86,4.66,2.3,,72092,11128,,0.2,0.15
50. [AY],WT:CCA1,,,24.39,1.29,,2.86,4.4,6.9,2.91,4.47,7.02,,41168,10757,,0.51,0.26
51. [AZ],WT:CCA1,,,23.4,0.76,,7.39,4.93,4.67,7.21,4.81,4.56,,185207,40320,,0.33,0.22
52. [BA],WT:CCA1,,,23.4,0.86,,6.35,3.89,5.28,6.19,3.79,5.15,,180953,47670,,0.44,0.27
53. [BB],WT:CCA1,,,23.44,0.96,,7.43,5.14,5.88,7.26,5.02,5.74,,152451,33767,,0.34,0.22
54. [BC],WT:CCA1,,,24.01,0.87,,4.6,4.64,3.87,4.6,4.64,3.87,,36942,8089,,0.33,0.23
55. [BD],WT:CCA1,,,24.11,1.25,,4.34,4.78,255.03,4.36,4.8,256.2,,84124,21680,,0.49,0.26
56. [BE],WT:CCA1,,,23.34,0.98,,7.38,4.67,5.99,7.18,4.54,5.82,,28554,8512,,0.43,0.31
57. [BF],WT:CCA1,,,23.84,0.86,,6.06,5.42,4.33,6.02,5.38,4.3,,20624,4658,,0.27,0.22
58. [BG],WT:CCA1,,,23.63,0.42,,6.01,4.51,2.58,5.92,4.44,2.54,,33407,5075,,0.21,0.15
59. [BH],WT:CCA1,,,23.28,0.73,,7.78,4.81,4.48,7.55,4.67,4.35,,111390,23660,,0.34,0.21
60. [BI],WT:CCA1,,,23.58,0.89,,5.18,3.47,5.5,5.09,3.41,5.41,,185500,51772,,0.36,0.28
61. [BJ],WT:CCA1,,,23.58,0.9,,5.4,3.69,5.53,5.31,3.63,5.43,,60880,12229,,0.4,0.2
62. [BK],WT:CCA1,,,23.19,0.91,,6.73,3.37,5.67,6.5,3.26,5.48,,193156,38851,,0.31,0.2
64. [BM],WT:TOC1,,,24.23,0.64,,15.53,16.44,3.4,15.68,16.6,3.44,,42362,9222,,0.29,0.22
65. [BN],WT:TOC1,,,23.22,0.67,,20.69,17.47,4.12,20.02,16.9,3.99,,35458,3741,,0.11,0.11
66. [BO],WT:TOC1,,,23.74,0.71,,17.84,16.79,4.35,17.65,16.61,4.3,,58661,11947,,0.33,0.2
67. [BP],WT:TOC1,,,22.99,0.95,,22.57,18.35,5.92,21.62,17.58,5.67,,17390,4551,,0.51,0.26
68. [BQ],WT:TOC1,,,22.79,0.56,,22.33,17.23,3.47,21.2,16.36,3.3,,46182,8015,,0.23,0.18
69. [BR],WT:TOC1,,,23.33,1.04,,20.62,17.86,6.28,20.04,17.36,6.1,,54242,12755,,0.31,0.24
70. [BS],WT:TOC1,,,22.74,0.43,,23.22,17.9,2.69,22,16.96,2.55,,19227,2790,,0.19,0.14
71. [BT],WT:TOC1,,,23.37,0.77,,18.45,15.87,4.81,17.97,15.45,4.69,,76539,17462,,0.36,0.22
72. [BU],WT:TOC1,,,23.16,0.78,,18.77,15.28,4.91,18.11,14.75,4.74,,89697,21327,,0.37,0.23
73. [BV],WT:TOC1,,,23.14,1.07,,20.76,17.2,6.61,20.02,16.58,6.38,,43896,12201,,0.41,0.29
74. [BW],WT:TOC1,,,23.61,0.54,,17.79,16.2,3.26,17.5,15.94,3.2,,42175,6865,,0.22,0.16
75. [BX],WT:TOC1,,,23.58,0.53,,18.62,16.91,3.32,18.29,16.61,3.26,,95841,15157,,0.19,0.16
76. [BY],WT:TOC1,,,22.88,0.87,,22.23,17.53,5.38,21.19,16.71,5.13,,43297,11923,,0.43,0.28
77. [BZ],WT:TOC1,,,23.36,0.9,,19.6,16.97,5.53,19.08,16.52,5.38,,50382,11217,,0.45,0.22
78. [CA],WT:TOC1,,,22.31,1.07,,1.28,18.01,6.85,1.19,16.74,6.37,,75581,19755,,0.32,0.27
79. [CB],WT:TOC1,,,22.88,0.45,,21.46,16.76,2.83,20.46,15.98,2.7,,56728,7540,,0.21,0.13
80. [CC],WT:TOC1,,,23.61,0.65,,18.41,16.82,3.99,18.11,16.55,3.93,,113585,21298,,0.3,0.19
81. [CD],WT:TOC1,,,22.64,0.77,,22.83,17.07,4.79,21.54,16.1,4.52,,34595,7625,,0.3,0.22
82. [CE],WT:TOC1,,,23.42,0.57,,18.66,16.28,3.47,18.21,15.89,3.38,,85169,14920,,0.24,0.17
83. [CF],WT:TOC1,,,23.64,1.42,,17.6,16.14,8.64,17.34,15.9,8.51,,22193,7361,,0.63,0.33
84. [CG],WT:TOC1,,,24.67,0.36,,13.62,16.23,1.93,14,16.68,1.98,,76399,8723,,0.17,0.11
85. [CH],WT:TOC1,,,23.25,1.2,,19.94,16.85,7.39,19.32,16.32,7.16,,26632,8228,,0.59,0.31
86. [CI],WT:TOC1,,,22.47,0.71,,0.4,17.86,1.93,0.37,16.72,1.8,,22655,5874,,0.41,0.26
87. [CJ],WT:TOC1,,,21.89,0.93,,4.05,18.79,6.32,3.69,17.14,5.76,,44253,7511,,0.17,0.18
88. [CK],WT:TOC1,,,23.01,0.51,,21.28,17.15,4.49,20.4,16.44,4.3,,60792,8379,,0.19,0.14
89. [CL],WT:TOC1,,,23.5,0.56,,18.9,16.86,3.39,18.51,16.51,3.32,,61468,11411,,0.25,0.18
90. [CM],WT:TOC1,,,23.49,0.35,,19.08,16.99,2.09,18.67,16.63,2.05,,71078,8728,,0.17,0.12
