sample,label,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,circadian phase by fit,phase to DW,circadian phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,circadian phase method specific,phase to DW,circadian phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,circadian phase by averaged peaks,phase to DW,circadian phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,circadian phase by first peak,phase to DW,circadian phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR
1. [B],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,27.2,0,14.14,12.47647059,26.94,23.77058824,0,36574,0,14.14,12.47647059,26.94,23.77058824,0,36574,0,14.55,12.83823529,0.15,0.132352941,3.536,58555,8569,13.3,11.73529412,26.1,23.02941176,0,61584,0,0.749782,0.749782
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. [C],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.3,0,3.02,2.982716049,4.22,4.167901235,0,51142,0,3.02,2.982716049,4.22,4.167901235,0,51142,0,1.3,1.283950617,2.5,2.469135802,3.394,48220,20390,2.5,2.469135802,3.7,3.654320988,0,48524,0,0.403398,0.403398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. [D],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.82,0,4.96,4.997481108,4.24,4.272040302,0,81144,0,4.96,4.997481108,4.24,4.272040302,0,81144,0,3.91,3.939546599,3.19,3.214105793,0.876812,70889,27370,4.22,4.251889169,3.5,3.526448363,0,61213,0,0.431617,0.431617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. [E],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,25.5,0,22.51,21.18588235,3.01,2.832941176,0,18728,0,22.51,21.18588235,3.01,2.832941176,0,18728,0,22.45,21.12941176,2.95,2.776470588,0.141421,21147,3067,22.4,21.08235294,2.9,2.729411765,0,20062,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. [F],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24.02,0,4.6,4.596169858,4.68,4.676103247,0,51596,0,4.6,4.596169858,4.68,4.676103247,0,51596,0,5.41,5.40549542,5.49,5.485428809,3.422,36091,32458,6.62,6.614487927,6.7,6.694421316,0,24615,0,0.620678,0.620678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. [G],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,26.5,0,18.38,16.64603774,1.88,1.702641509,0,55333,0,18.38,16.64603774,1.88,1.702641509,0,55333,0,17.85,16.16603774,1.35,1.222641509,0.141421,52985,11384,17.9,16.21132075,1.4,1.267924528,0,48992,0,0.5832,0.5832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. [H],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,24,0,3.03,3.03,3.03,3.03,0,147032,0,3.03,3.03,3.03,3.03,0,147032,0,1.3,1.3,1.3,1.3,2.01E-14,144969,35455,2.1,2.1,2.1,2.1,0,135733,0,0.281405,0.281405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. [I],WT:CCA1,,,,10261,23-Aug-17,MESA,linear dtr 96.0-max p(18.0-34.0),linear dtr,96.0-max,,23.62,0,6.65,6.756985605,5.13,5.212531753,0,125249,0,6.65,6.756985605,5.13,5.212531753,0,125249,0,5.96,6.055884843,4.44,4.511430991,0.113137,108429,44936,5.92,6.015241321,4.4,4.470787468,0,92542,0,0.531835,0.531835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
